Date, Open, High, Low, Close, Volume
7/9/21,14.95,15.17,14.61,15.04,783955
7/12/21,15.1,15.1015,14.4,14.42,751074
7/13/21,14.43,14.74,13.08,13.88,1498597
7/14/21,13.7,13.8652,13.1,13.27,968377
7/15/21,13.33,13.76,12.175,12.4,1435711
7/16/21,12.6,13.88,12.6,13.26,1357598
7/19/21,14.02,14.4,13.315,13.62,1618826
7/20/21,14.19,14.19,13.66,13.83,936426
7/21/21,14.33,14.69,13.7,13.78,1401866
7/22/21,16.84,17,12.91,13.98,9268187
7/23/21,13.05,15.03,12.52,14.82,6497975
7/26/21,14.55,14.66,13.45,13.8,3846492
7/27/21,13.68,13.75,10.24,11.45,6450674
7/28/21,11.91,12.46,11.15,12.18,3509159
7/29/21,12.5,12.5099,11.6,11.7,1322126
7/30/21,11.6576,12.44,11.6576,12.08,1844458
8/2/21,12.1,13.58,11.71,13.4,2660845
8/3/21,13.09,13.285,12.03,12.23,1962020
8/4/21,12.27,12.555,12,12.43,928795
8/5/21,12.37,12.67,12.18,12.26,885446
8/6/21,12.2,12.42,11.74,11.88,896229
8/9/21,11.88,12.17,11.6809,11.89,904764
8/10/21,11.9,12.64,11.7421,12.6,1528517
8/11/21,12.4,12.6,11.81,12.17,1534951
8/12/21,11.905,11.94,11.23,11.36,1671272
8/13/21,11.36,11.68,10.8,10.95,1512071
8/16/21,10.75,10.75,9.5,9.92,3755280
8/17/21,10.373,10.48,9.63,10.48,4085651
8/18/21,10.5,10.54,10.1,10.19,1185701
8/19/21,10,10.15,9.42,9.45,1356138
8/20/21,9.565,9.8,9.15,9.22,1628117
8/23/21,9.18,9.39,8.88,9.08,1966727
8/24/21,9.33,9.88,9.15,9.73,1537772
8/25/21,9.61,9.79,9.2,9.21,1218850
8/26/21,9.15,9.5,8.7,8.98,1558969
8/27/21,9.2,9.89,9.2,9.51,2400438
8/30/21,9.6,9.85,9.26,9.5,1167740
8/31/21,9.54,10.12,9.5,10.09,1415454
9/1/21,9.91,10.16,9.66,10.1,1504425
9/2/21,10.01,10.29,9.72,9.84,1967670
9/3/21,9.88,10.97,9.72,10.84,4039907
9/7/21,11,11,9.15,9.18,6490868
9/8/21,9.3,9.4393,8.9,8.93,2267036
9/9/21,9.16,9.38,9.03,9.2,1520935
9/10/21,9.25,9.34,8.95,8.96,1214603
9/13/21,8.96,9.14,8.8,9.13,1700977
9/14/21,9.01,9.405,8.9,9.1,1641765
9/15/21,9.03,9.46,9.03,9.26,1806653
9/16/21,9.34,10.2,9.33,10.02,3043181
9/17/21,10.12,10.91,9.83,10.79,10569510
9/20/21,10.35,10.64,10.1,10.37,3352880
9/21/21,10.55,11.5,10.4,10.48,3300566
9/22/21,11.03,11.24,10.48,10.55,2512153
9/23/21,10.594,10.72,10.375,10.67,1494165
9/24/21,10.65,11.2,10.63,11.14,2764007
9/27/21,11,11.05,10.01,10.17,2357688
9/28/21,10.04,10.1599,9.95,10.01,1407584
9/29/21,10.02,10.03,9.31,9.5,1532677
9/30/21,9.58,9.6,9.33,9.44,715139
10/1/21,9.44,9.5,8.875,9.04,1727447
10/4/21,9.08,9.17,8.8,8.81,1250364
10/5/21,8.8,9.03,8.08,8.19,2360716
10/6/21,8.17,8.17,7.4,7.65,3406004
10/7/21,7.6,8.4699,7.47,8.4,3028368
10/8/21,8.3,8.32,7.84,8.05,1572017
10/11/21,7.94,8.5,7.92,8.23,1231750
10/12/21,8.16,8.42,7.91,8.36,942326
10/13/21,8.17,8.42,7.9322,8.26,1333340
10/14/21,8.1,8.31,8.1,8.25,688702
10/15/21,8.51,8.95,8.35,8.79,1888577
